,sim,i,s,area_anti
0,0.0,2582,3025,1.538181818181818
1,1.0,2582,3025,1.5643636363636362
2,2.0,2582,3025,1.4487272727272726
3,3.0,2582,3025,1.538181818181818
4,4.0,2582,3025,1.453090909090909
5,5.0,2582,3025,1.512
6,6.0,2582,3025,1.477090909090909
7,7.0,2582,3025,1.525090909090909
8,8.0,2582,3025,1.4836363636363636
9,9.0,2582,3025,1.477090909090909
10,10.0,2582,3025,1.5752727272727272
11,11.0,2582,3025,1.5054545454545454
12,12.0,2582,3025,1.514181818181818
13,13.0,2582,3025,1.5861818181818181
14,14.0,2582,3025,1.525090909090909
15,15.0,2582,3025,1.632
16,16.0,2582,3025,1.4923636363636363
17,17.0,2582,3025,1.4683636363636363
18,18.0,2582,3025,1.5294545454545454
19,19.0,2582,3025,1.5447272727272725
20,20.0,2582,3025,1.5294545454545454
21,21.0,2582,3025,1.5403636363636362
22,22.0,2582,3025,1.4858181818181817
23,23.0,2582,3025,1.4814545454545454
24,24.0,2582,3025,1.514181818181818
25,25.0,2582,3025,1.4487272727272726
26,26.0,2582,3025,1.4989090909090907
27,27.0,2582,3025,1.4683636363636363
28,28.0,2582,3025,1.5032727272727273
29,29.0,2582,3025,1.5207272727272727
30,30.0,2582,3025,1.5796363636363635
31,31.0,2582,3025,1.5621818181818181
32,32.0,2582,3025,1.4618181818181817
33,33.0,2582,3025,1.5774545454545454
34,34.0,2582,3025,1.4836363636363636
35,35.0,2582,3025,1.442181818181818
36,36.0,2582,3025,1.3963636363636363
37,37.0,2582,3025,1.4923636363636363
38,38.0,2582,3025,1.4814545454545454
39,39.0,2582,3025,1.634181818181818
40,40.0,2582,3025,1.4596363636363634
41,41.0,2582,3025,1.426909090909091
42,42.0,2582,3025,1.477090909090909
43,43.0,2582,3025,1.6036363636363635
44,44.0,2582,3025,1.5796363636363635
45,45.0,2582,3025,1.4465454545454544
46,46.0,2582,3025,1.4814545454545454
47,47.0,2582,3025,1.464
48,48.0,2582,3025,1.488
49,49.0,2582,3025,1.4705454545454544
50,50.0,2582,3025,1.477090909090909
51,51.0,2582,3025,1.5185454545454546
52,52.0,2582,3025,1.479272727272727
53,53.0,2582,3025,1.5490909090909089
54,54.0,2582,3025,1.4749090909090907
55,55.0,2582,3025,1.490181818181818
56,56.0,2582,3025,1.479272727272727
57,57.0,2582,3025,1.4836363636363636
58,58.0,2582,3025,1.5185454545454546
59,59.0,2582,3025,1.477090909090909
60,60.0,2582,3025,1.5599999999999998
61,61.0,2582,3025,1.4836363636363636
62,62.0,2582,3025,1.4945454545454544
63,63.0,2582,3025,1.4923636363636363
64,64.0,2582,3025,1.4836363636363636
65,65.0,2582,3025,1.5556363636363635
66,66.0,2582,3025,1.4858181818181817
67,67.0,2582,3025,1.522909090909091
68,68.0,2582,3025,1.5054545454545454
69,69.0,2582,3025,1.538181818181818
70,70.0,2582,3025,1.6058181818181818
71,71.0,2582,3025,1.5905454545454545
72,72.0,2582,3025,1.512
73,73.0,2582,3025,1.5469090909090908
74,74.0,2582,3025,1.4749090909090907
75,75.0,2582,3025,1.4683636363636363
76,76.0,2582,3025,1.4923636363636363
77,77.0,2582,3025,1.525090909090909
78,78.0,2582,3025,1.5556363636363635
79,79.0,2582,3025,1.32
80,80.0,2582,3025,1.4945454545454544
81,81.0,2582,3025,1.5032727272727273
82,82.0,2582,3025,1.5621818181818181
83,83.0,2582,3025,1.4465454545454544
84,84.0,2582,3025,1.5403636363636362
85,85.0,2582,3025,1.5534545454545452
86,86.0,2582,3025,1.4072727272727272
87,87.0,2582,3025,1.5272727272727273
88,88.0,2582,3025,1.5578181818181818
89,89.0,2582,3025,1.490181818181818
90,90.0,2582,3025,1.5272727272727273
91,91.0,2582,3025,1.477090909090909
92,92.0,2582,3025,1.4923636363636363
93,93.0,2582,3025,1.4683636363636363
94,94.0,2582,3025,1.479272727272727
95,95.0,2582,3025,1.5447272727272725
96,96.0,2582,3025,1.5621818181818181
97,97.0,2582,3025,1.5665454545454545
98,98.0,2582,3025,1.490181818181818
99,99.0,2582,3025,1.4509090909090907
