rho,c,s,mean_wait_time
0.9,500000,2,11.344667222891193
0.9,500000,2,11.65801276890878
0.9,500000,2,10.818095790847702
0.9,500000,2,11.373916828384532
0.9,500000,2,10.9989031639449
0.9,500000,2,11.4565671166312
0.9,500000,2,11.037942379440047
0.9,500000,2,11.258856049072497
0.9,500000,2,11.291453828432658
0.9,500000,2,11.534024187232145
0.9,500000,2,10.593471681084935
0.9,500000,2,10.972921486111595
0.9,500000,2,11.28539769047647
0.9,500000,2,11.576473045295415
0.9,500000,2,10.86398885535049
0.9,500000,2,11.318926215696955
0.9,500000,2,11.725825961226995
0.9,500000,2,11.174141365052009
0.9,500000,2,11.328607359663458
0.9,500000,2,10.501308482894187
0.9,500000,2,11.250217480797147
0.9,500000,2,11.058303471594073
0.9,500000,2,11.167905541272232
0.9,500000,2,11.003657107955101
0.9,500000,2,11.113331405942025
0.9,500000,2,11.149861896351144
0.9,500000,2,11.347833120602983
0.9,500000,2,10.716106229372297
0.9,500000,2,11.191728394016083
0.9,500000,2,11.56085755528183
0.9,500000,2,10.917369042190844
0.9,500000,2,11.563465672174592
0.9,500000,2,10.599903226938336
0.9,500000,2,11.247347704458697
0.9,500000,2,10.690650504052496
0.9,500000,2,10.694488850243932
0.9,500000,2,10.55872714761238
0.9,500000,2,11.113065273909811
0.9,500000,2,11.746850521011634
0.9,500000,2,11.338643677960706
0.9,500000,2,11.161669417813082
0.9,500000,2,11.341489935953211
0.9,500000,2,11.087113846081264
0.9,500000,2,11.394727170898282
0.9,500000,2,10.953981405157982
0.9,500000,2,11.440386241363091
0.9,500000,2,11.396102290389344
0.9,500000,2,10.914082668365802
0.9,500000,2,11.198997102604096
0.9,500000,2,11.189972629771335
0.9,500000,2,11.121256118126519
0.9,500000,2,11.212229662680315
0.9,500000,2,11.053805275897451
0.9,500000,2,11.744764365617868
0.9,500000,2,11.335930330532141
0.9,500000,2,11.257212846317517
0.9,500000,2,11.553043102582045
0.9,500000,2,11.563917992906829
0.9,500000,2,11.769568267049921
0.9,500000,2,10.761647507134914
0.9,500000,2,11.286783432386462
0.9,500000,2,10.797637127032868
0.9,500000,2,11.195047060617908
0.9,500000,2,11.352296741741643
0.9,500000,2,11.345071285989013
0.9,500000,2,11.032882109233432
0.9,500000,2,10.796959183627436
0.9,500000,2,11.403776783697596
0.9,500000,2,11.29268859267256
0.9,500000,2,11.090108678768512
0.9,500000,2,10.630813063644407
0.9,500000,2,11.356103603159186
0.9,500000,2,10.163435244615973
0.9,500000,2,11.626879986088948
0.9,500000,2,11.46577254886956
0.9,500000,2,11.215410346244804
0.9,500000,2,11.235190624523149
0.9,500000,2,11.167988424967989
0.9,500000,2,11.2502017624195
0.9,500000,2,11.30253561720827
0.9,500000,2,11.13491816644871
0.9,500000,2,11.179655034459993
0.9,500000,2,11.568713177223122
0.9,500000,2,11.128408856840517
0.9,500000,2,11.777591656823574
0.9,500000,2,10.95251791838104
0.9,500000,2,11.139404304010542
0.9,500000,2,11.01503269671607
0.9,500000,2,11.137727639589535
0.9,500000,2,11.220919259939786
0.9,500000,2,11.071677826793083
0.9,500000,2,11.176864998549204
0.9,500000,2,11.573224517635575
0.9,500000,2,11.213017317892628
0.9,500000,2,11.080732035245605
0.9,500000,2,11.046417038410794
0.9,500000,2,11.073098328940954
0.9,500000,2,11.611097725486953
0.9,500000,2,11.187566303130222
0.9,500000,2,11.191635522515071
