rho,c,s,mean_wait_time
0.8,500000,1,2.329783596942545
0.8,500000,1,2.3629936975156585
0.8,500000,1,2.328516057870078
0.8,500000,1,2.37149047670028
0.8,500000,1,2.383272300685209
0.8,500000,1,2.351270780634044
0.8,500000,1,2.3670707606709955
0.8,500000,1,2.359840085409919
0.8,500000,1,2.354916182582479
0.8,500000,1,2.3477127764888985
0.8,500000,1,2.363372971241611
0.8,500000,1,2.3395605413943428
0.8,500000,1,2.3304341777991366
0.8,500000,1,2.355575602664862
0.8,500000,1,2.336692115942209
0.8,500000,1,2.353432668832049
0.8,500000,1,2.349371168930228
0.8,500000,1,2.354553309866459
0.8,500000,1,2.3326164997514045
0.8,500000,1,2.361159095525515
0.8,500000,1,2.351130834316943
0.8,500000,1,2.336374004258183
0.8,500000,1,2.3191033602191307
0.8,500000,1,2.31869034050488
0.8,500000,1,2.356917558702292
0.8,500000,1,2.3427689193506525
0.8,500000,1,2.326110838662882
0.8,500000,1,2.385272011822527
0.8,500000,1,2.3418442160951094
0.8,500000,1,2.353463366575879
0.8,500000,1,2.3738340559096756
0.8,500000,1,2.323515564290186
0.8,500000,1,2.3862497638793094
0.8,500000,1,2.360665686614341
0.8,500000,1,2.3640608141804447
0.8,500000,1,2.3342164910936103
0.8,500000,1,2.35453038577653
0.8,500000,1,2.332873402174768
0.8,500000,1,2.3472899613650444
0.8,500000,1,2.3551991817771696
0.8,500000,1,2.356757716973797
0.8,500000,1,2.365355490835038
0.8,500000,1,2.327359885494545
0.8,500000,1,2.3662692674484345
0.8,500000,1,2.342697207024249
0.8,500000,1,2.3524825248264123
0.8,500000,1,2.352824125571274
0.8,500000,1,2.297225715355211
0.8,500000,1,2.31101176219017
0.8,500000,1,2.3413124572654613
0.8,500000,1,2.3756545673718072
0.8,500000,1,2.3276673713789724
0.8,500000,1,2.3783722572801187
0.8,500000,1,2.322898201192836
0.8,500000,1,2.324811258205425
0.8,500000,1,2.391267662292584
0.8,500000,1,2.379271373407172
0.8,500000,1,2.3533571622048273
0.8,500000,1,2.352200135481974
0.8,500000,1,2.368278239244879
0.8,500000,1,2.365675146476955
0.8,500000,1,2.3696435708709283
0.8,500000,1,2.357078441432484
0.8,500000,1,2.393688515658563
0.8,500000,1,2.336484269416082
0.8,500000,1,2.399762281469943
0.8,500000,1,2.3291809113291855
0.8,500000,1,2.3298273925757966
0.8,500000,1,2.3255451032664767
0.8,500000,1,2.3075062980603214
0.8,500000,1,2.3319237974866165
0.8,500000,1,2.3259365811275354
0.8,500000,1,2.3557886873854166
0.8,500000,1,2.353141462092625
0.8,500000,1,2.4098593852538923
0.8,500000,1,2.3884310585529525
0.8,500000,1,2.3293649110624175
0.8,500000,1,2.37636080003064
0.8,500000,1,2.3332889012750067
0.8,500000,1,2.361846662668912
0.8,500000,1,2.336517513124207
0.8,500000,1,2.333600190280482
0.8,500000,1,2.3233920983238945
0.8,500000,1,2.3737351328320204
0.8,500000,1,2.354291636980906
0.8,500000,1,2.3258344481388193
0.8,500000,1,2.3263420546468727
0.8,500000,1,2.3558964099682598
0.8,500000,1,2.339452882004955
0.8,500000,1,2.39262760259227
0.8,500000,1,2.3639246716363873
0.8,500000,1,2.346944208208086
0.8,500000,1,2.3478925757823332
0.8,500000,1,2.3599695835628096
0.8,500000,1,2.3416555431668598
0.8,500000,1,2.3878267283494
0.8,500000,1,2.3292168454545545
0.8,500000,1,2.364559122743599
0.8,500000,1,2.391313431346493
0.8,500000,1,2.3564477942293824
