rho,customer_no,servers,mean_waiting_time
0.95,500000,4,2.8441427455942163
0.95,500000,4,2.613890202187603
0.95,500000,4,2.701676934029307
0.95,500000,4,2.9281958357569597
0.95,500000,4,2.6651897704175926
0.95,500000,4,2.9506470857885656
0.95,500000,4,2.82635758906082
0.95,500000,4,2.763025723901839
0.95,500000,4,2.751827188856782
0.95,500000,4,2.5727778496562275
0.95,500000,4,3.0191460589077486
0.95,500000,4,2.768731695588708
0.95,500000,4,2.898211041859901
0.95,500000,4,3.016050183907994
0.95,500000,4,3.026570345498185
0.95,500000,4,3.00658355102165
0.95,500000,4,2.5434017499448345
0.95,500000,4,2.6718631405348687
0.95,500000,4,2.754810499995265
0.95,500000,4,2.9275328782347634
0.95,500000,4,2.943472247911333
0.95,500000,4,2.752034944933217
0.95,500000,4,2.7418055032952093
0.95,500000,4,2.9094980269307076
0.95,500000,4,2.888199929639369
0.95,500000,4,2.88264640843539
0.95,500000,4,2.7499132458135027
0.95,500000,4,2.812990060332182
0.95,500000,4,2.788804963950445
0.95,500000,4,2.714947567086336
0.95,500000,4,2.708694972228885
0.95,500000,4,2.6849588243691174
0.95,500000,4,2.735814249407699
0.95,500000,4,2.9504263723719575
0.95,500000,4,2.8659824301500465
0.95,500000,4,2.6511184470964544
0.95,500000,4,2.8396476100211876
0.95,500000,4,2.88479425995591
0.95,500000,4,3.0126014467287945
0.95,500000,4,2.8743191692283525
0.95,500000,4,2.663039697528232
0.95,500000,4,2.9869771063352992
0.95,500000,4,2.803253333574481
0.95,500000,4,2.7455324822933607
0.95,500000,4,2.8879679093507775
0.95,500000,4,2.7660740711469716
0.95,500000,4,2.6393394083496964
0.95,500000,4,2.9532215581381873
0.95,500000,4,2.6579422531373824
0.95,500000,4,2.6241691536572946
0.95,500000,4,2.708637711933389
0.95,500000,4,2.8607553192748836
0.95,500000,4,2.9040493845772555
0.95,500000,4,2.6063904929850947
0.95,500000,4,3.0395923378040064
0.95,500000,4,2.8054685733272677
0.95,500000,4,2.8663733862171323
0.95,500000,4,2.73258267016143
0.95,500000,4,3.2323168965213944
0.95,500000,4,2.901946334238967
0.95,500000,4,2.9944288017447778
0.95,500000,4,2.962098346299813
0.95,500000,4,2.746191183115944
0.95,500000,4,2.69144785133632
0.95,500000,4,2.7815169784180602
0.95,500000,4,2.8022190745311866
0.95,500000,4,2.9754500287647696
0.95,500000,4,2.7086157483303763
0.95,500000,4,2.9751052542929775
0.95,500000,4,2.6841016965457802
0.95,500000,4,2.7862107549697317
0.95,500000,4,2.9703380118576406
0.95,500000,4,2.9362943493038833
0.95,500000,4,2.8812159193636924
0.95,500000,4,2.713163219303907
0.95,500000,4,2.8801142349174085
0.95,500000,4,2.9407203823846
0.95,500000,4,2.8335900015803897
0.95,500000,4,2.8390620578032135
0.95,500000,4,2.8036005007754925
0.95,500000,4,2.6315652122375504
0.95,500000,4,2.727135350837127
0.95,500000,4,3.0225142814537307
0.95,500000,4,2.8806013478992836
0.95,500000,4,2.580074131071211
0.95,500000,4,2.8703734729834207
0.95,500000,4,2.798557128457681
0.95,500000,4,2.8123423869239024
0.95,500000,4,2.8072759593888725
0.95,500000,4,2.8415276821827553
0.95,500000,4,2.8225710374924615
0.95,500000,4,3.0590971943986576
0.95,500000,4,2.906745702655036
0.95,500000,4,2.7733994383363516
0.95,500000,4,2.8257899365754042
0.95,500000,4,2.85713227124455
0.95,500000,4,2.833969443163448
0.95,500000,4,2.850757531420578
0.95,500000,4,2.9174207691506893
0.95,500000,4,3.001147032486323
