rho,c,s,mean_wait_time
0.95,500000,1,11.48854381411802
0.95,500000,1,12.280971211547895
0.95,500000,1,12.677050135033971
0.95,500000,1,11.756402352182691
0.95,500000,1,11.53764860714512
0.95,500000,1,11.584667002660662
0.95,500000,1,12.289507666422224
0.95,500000,1,11.107573875760913
0.95,500000,1,12.638691126618415
0.95,500000,1,12.220407081163373
0.95,500000,1,11.933439069819302
0.95,500000,1,11.94532936742995
0.95,500000,1,12.93440437398116
0.95,500000,1,11.708266040311202
0.95,500000,1,11.711317231349659
0.95,500000,1,11.15688465226214
0.95,500000,1,12.385602462552992
0.95,500000,1,11.613509614459966
0.95,500000,1,12.277925056222161
0.95,500000,1,11.807682427660602
0.95,500000,1,11.848751777412659
0.95,500000,1,12.524560901080868
0.95,500000,1,12.487119679303099
0.95,500000,1,11.94228849307863
0.95,500000,1,11.647314560311644
0.95,500000,1,11.571282025160022
0.95,500000,1,11.605748670924699
0.95,500000,1,12.233030351596561
0.95,500000,1,11.392919592450058
0.95,500000,1,11.652081182661911
0.95,500000,1,11.016032570395609
0.95,500000,1,11.67673565058452
0.95,500000,1,11.818029483734138
0.95,500000,1,11.241497775240497
0.95,500000,1,12.62082068796266
0.95,500000,1,11.34687556855086
0.95,500000,1,11.766391509741188
0.95,500000,1,11.413433023506109
0.95,500000,1,12.40373908363193
0.95,500000,1,12.063956805292309
0.95,500000,1,12.604063879840728
0.95,500000,1,12.090092309795487
0.95,500000,1,12.334056358595975
0.95,500000,1,11.449663837191855
0.95,500000,1,12.1164929984746
0.95,500000,1,11.686456901886698
0.95,500000,1,11.226073152997525
0.95,500000,1,12.838591906085226
0.95,500000,1,12.355996140440535
0.95,500000,1,12.238382021793502
0.95,500000,1,10.59864692645368
0.95,500000,1,12.243134936665014
0.95,500000,1,11.722090192356859
0.95,500000,1,11.919828329037404
0.95,500000,1,11.453712723899596
0.95,500000,1,12.154860555762282
0.95,500000,1,12.4178644049181
0.95,500000,1,11.8785550930458
0.95,500000,1,12.298148540389894
0.95,500000,1,11.50245302833765
0.95,500000,1,11.900988244908019
0.95,500000,1,11.073809560082376
0.95,500000,1,12.124477026587508
0.95,500000,1,12.00142998105979
0.95,500000,1,11.72154705719475
0.95,500000,1,11.464675401905382
0.95,500000,1,12.336235383618831
0.95,500000,1,11.539811686009761
0.95,500000,1,11.336296757492804
0.95,500000,1,11.617920236966516
0.95,500000,1,11.869819021168855
0.95,500000,1,11.63862683196438
0.95,500000,1,11.496500247280217
0.95,500000,1,11.985572963902522
0.95,500000,1,12.038901555300319
0.95,500000,1,11.907097697383323
0.95,500000,1,12.457304121186576
0.95,500000,1,12.070404839934834
0.95,500000,1,12.167305697915086
0.95,500000,1,11.750459524912179
0.95,500000,1,11.882990495675744
0.95,500000,1,10.933667561545226
0.95,500000,1,11.482240797131757
0.95,500000,1,11.88738297647858
0.95,500000,1,11.949673800113343
0.95,500000,1,11.985531501884012
0.95,500000,1,12.385737335048432
0.95,500000,1,11.4579123879457
0.95,500000,1,11.729547080365915
0.95,500000,1,11.839172933521283
0.95,500000,1,11.915767098492369
0.95,500000,1,12.093517725732454
0.95,500000,1,13.122908749564681
0.95,500000,1,12.2442927083802
0.95,500000,1,11.269304776041524
0.95,500000,1,11.484327938597472
0.95,500000,1,12.120919987340287
0.95,500000,1,11.997038232447318
0.95,500000,1,11.650227633555437
0.95,500000,1,12.107117964979372
