rho,customer_no,servers,mean_waiting_time
0.95,500000,1,50.892369384613424
0.95,500000,1,40.90778672278737
0.95,500000,1,54.25307827610624
0.95,500000,1,47.392283701009504
0.95,500000,1,42.93301649267528
0.95,500000,1,50.81275128562521
0.95,500000,1,56.09221235358397
0.95,500000,1,47.955727741665704
0.95,500000,1,47.274193292182126
0.95,500000,1,49.33808650191441
0.95,500000,1,50.61740649858325
0.95,500000,1,49.934239104263625
0.95,500000,1,45.49706328291181
0.95,500000,1,47.95230363231356
0.95,500000,1,49.322258821345194
0.95,500000,1,45.82408445830845
0.95,500000,1,59.7777772041788
0.95,500000,1,48.71326189392441
0.95,500000,1,47.01000256870204
0.95,500000,1,45.743061098828434
0.95,500000,1,43.477124313563614
0.95,500000,1,45.113041475783035
0.95,500000,1,46.944821067720056
0.95,500000,1,51.83916376494314
0.95,500000,1,53.5865650001118
0.95,500000,1,54.139278153989586
0.95,500000,1,54.39753117678832
0.95,500000,1,51.89927815724154
0.95,500000,1,44.28349098777868
0.95,500000,1,48.990544915360424
0.95,500000,1,44.27761192259302
0.95,500000,1,46.678634963553215
0.95,500000,1,48.11516052604652
0.95,500000,1,55.75214901806177
0.95,500000,1,50.82001154229608
0.95,500000,1,47.258631767165156
0.95,500000,1,45.73908238295437
0.95,500000,1,47.20297041925457
0.95,500000,1,48.09361424417384
0.95,500000,1,45.770918407745356
0.95,500000,1,50.2937953597632
0.95,500000,1,47.05765951760875
0.95,500000,1,49.86085109062109
0.95,500000,1,45.3979709996075
0.95,500000,1,54.42558072083096
0.95,500000,1,44.75259210157569
0.95,500000,1,43.387275647135276
0.95,500000,1,49.12850297244129
0.95,500000,1,46.81945126786948
0.95,500000,1,50.7797632020059
0.95,500000,1,48.5505129309753
0.95,500000,1,58.15389326146395
0.95,500000,1,55.3586787587972
0.95,500000,1,46.00995651022028
0.95,500000,1,55.21818836904251
0.95,500000,1,44.91193399536072
0.95,500000,1,47.205756911709514
0.95,500000,1,55.00189375503623
0.95,500000,1,50.74802685418817
0.95,500000,1,57.1448976562117
0.95,500000,1,46.66193622423352
0.95,500000,1,49.75189270192714
0.95,500000,1,47.3807020781914
0.95,500000,1,44.38285837496114
0.95,500000,1,47.844283565719756
0.95,500000,1,51.287806211917825
0.95,500000,1,55.13907779290661
0.95,500000,1,44.533823200400576
0.95,500000,1,52.073720008740914
0.95,500000,1,45.7651549697475
0.95,500000,1,49.58292558849933
0.95,500000,1,51.371100541757805
0.95,500000,1,44.41157929856348
0.95,500000,1,53.332248342669025
0.95,500000,1,47.9737194703638
0.95,500000,1,48.191654157213605
0.95,500000,1,55.281235658466606
0.95,500000,1,47.30514387889136
0.95,500000,1,51.45822026783756
0.95,500000,1,54.79438437568408
0.95,500000,1,42.66142239445238
0.95,500000,1,53.23043340832451
0.95,500000,1,46.57570103324669
0.95,500000,1,55.66633583979638
0.95,500000,1,47.68004710509973
0.95,500000,1,52.1746252010413
0.95,500000,1,54.30456732545706
0.95,500000,1,44.415936965630365
0.95,500000,1,49.83696456588304
0.95,500000,1,51.72732565903218
0.95,500000,1,49.69960743294913
0.95,500000,1,45.95134612668334
0.95,500000,1,52.42580915419599
0.95,500000,1,44.277577681314106
0.95,500000,1,50.418385392307535
0.95,500000,1,44.553178804631536
0.95,500000,1,48.32301382311043
0.95,500000,1,54.09187953716527
0.95,500000,1,47.31832570254749
0.95,500000,1,41.736833983085646
