rho,c,s,mean_wait_time
0.5,500000,1,2.6199590610929704
0.5,500000,1,2.5820228196466215
0.5,500000,1,2.642726275528997
0.5,500000,1,2.60006467314211
0.5,500000,1,2.597227297391359
0.5,500000,1,2.5822285696868907
0.5,500000,1,2.6301246347174585
0.5,500000,1,2.5302999260341923
0.5,500000,1,2.573300168401235
0.5,500000,1,2.627013901479264
0.5,500000,1,2.630092198879016
0.5,500000,1,2.617375908326529
0.5,500000,1,2.575955569068989
0.5,500000,1,2.568971392110869
0.5,500000,1,2.6344242490037404
0.5,500000,1,2.6519789700367715
0.5,500000,1,2.6139092658401006
0.5,500000,1,2.605090970210233
0.5,500000,1,2.5719774314598363
0.5,500000,1,2.650157788654172
0.5,500000,1,2.6225194471353404
0.5,500000,1,2.5539871803362337
0.5,500000,1,2.6355046043937627
0.5,500000,1,2.59643059209232
0.5,500000,1,2.607337886846992
0.5,500000,1,2.5717731714365013
0.5,500000,1,2.6068218563386183
0.5,500000,1,2.6456466103134635
0.5,500000,1,2.630716252186818
0.5,500000,1,2.5764725006154414
0.5,500000,1,2.599978330780763
0.5,500000,1,2.5960077091003213
0.5,500000,1,2.5781552299787704
0.5,500000,1,2.5697591474957924
0.5,500000,1,2.5718586424307475
0.5,500000,1,2.5931208170802056
0.5,500000,1,2.6202045791770594
0.5,500000,1,2.573996213991581
0.5,500000,1,2.6769524385581644
0.5,500000,1,2.6302968400351285
0.5,500000,1,2.560506851509303
0.5,500000,1,2.5706895084619568
0.5,500000,1,2.6184284111398073
0.5,500000,1,2.629272404811699
0.5,500000,1,2.6342477148489327
0.5,500000,1,2.6037625872679553
0.5,500000,1,2.6150176153237483
0.5,500000,1,2.5591027809310365
0.5,500000,1,2.6210299552467
0.5,500000,1,2.6318540076743298
0.5,500000,1,2.6146259582723634
0.5,500000,1,2.5584098772074126
0.5,500000,1,2.606647921940535
0.5,500000,1,2.6194471695843053
0.5,500000,1,2.5781969259212176
0.5,500000,1,2.619162853088121
0.5,500000,1,2.612804952814374
0.5,500000,1,2.575132113009826
0.5,500000,1,2.640263261092172
0.5,500000,1,2.580433446424079
0.5,500000,1,2.5552415438881666
0.5,500000,1,2.5863048839705876
0.5,500000,1,2.564865388921094
0.5,500000,1,2.6221906169577367
0.5,500000,1,2.5769604116695826
0.5,500000,1,2.6455308766709136
0.5,500000,1,2.6151500661045777
0.5,500000,1,2.5963240034219472
0.5,500000,1,2.531557954047573
0.5,500000,1,2.6220505242507963
0.5,500000,1,2.6035294581772384
0.5,500000,1,2.600634374180629
0.5,500000,1,2.544107769419152
0.5,500000,1,2.6065067790337744
0.5,500000,1,2.5675744485290344
0.5,500000,1,2.578939328727122
0.5,500000,1,2.641162232361851
0.5,500000,1,2.576000874718046
0.5,500000,1,2.5924336097380545
0.5,500000,1,2.5957097151115107
0.5,500000,1,2.6105916028849965
0.5,500000,1,2.607821042996832
0.5,500000,1,2.592993893310605
0.5,500000,1,2.620370352353446
0.5,500000,1,2.622009673822069
0.5,500000,1,2.5791956989470357
0.5,500000,1,2.6708001997678092
0.5,500000,1,2.607723838536572
0.5,500000,1,2.5837988500571476
0.5,500000,1,2.615791924461791
0.5,500000,1,2.5546923060565847
0.5,500000,1,2.5917644823284647
0.5,500000,1,2.6205885459613505
0.5,500000,1,2.5810245752063135
0.5,500000,1,2.602151886868085
0.5,500000,1,2.6219116941421
0.5,500000,1,2.6534593958523893
0.5,500000,1,2.5971705208320444
0.5,500000,1,2.605556124244901
0.5,500000,1,2.614954434209218
