order,simulation,sch_method,chain lenght,found_distances
0,0,linear,250,33528.22910069849
1,0,linear,250,20639.12567610483
2,0,linear,250,17189.85263082959
3,0,linear,250,16155.001451534026
4,0,linear,250,15867.814032778255
5,0,linear,250,15070.14611473237
6,0,linear,250,14854.872621417408
7,0,linear,250,14495.82477673039
8,0,linear,250,14182.53158356903
9,0,linear,250,14376.906525230137
10,0,linear,250,14125.224377914303
11,0,linear,250,13935.29843988617
12,0,linear,250,13720.935117615445
13,0,linear,250,13992.663739992273
14,0,linear,250,13128.101934764114
15,0,linear,250,13139.830749070274
16,0,linear,250,12992.547143670423
17,0,linear,250,13820.92421693819
18,0,linear,250,14233.743200162102
19,0,linear,250,14017.710956635729
20,0,linear,250,13873.941463724008
21,0,linear,250,13272.980225959725
22,0,linear,250,13951.437381558657
23,0,linear,250,13434.19510517434
24,0,linear,250,13581.884903881548
25,0,linear,250,13862.336900030636
26,0,linear,250,13880.29180509839
27,0,linear,250,13457.860754100166
28,0,linear,250,12938.813216511468
29,0,linear,250,12854.258340555743
30,0,linear,250,13300.943128537245
31,0,linear,250,12764.840770922012
32,0,linear,250,12924.4074772402
33,0,linear,250,13063.756280469674
34,0,linear,250,13601.772139696419
35,0,linear,250,13956.287673063209
36,0,linear,250,13660.56747127038
37,0,linear,250,13912.007108222251
38,0,linear,250,14000.733935184466
39,0,linear,250,13690.338702660292
40,0,linear,250,14158.907081609268
41,0,linear,250,13681.267126094186
42,0,linear,250,13175.875256695645
43,0,linear,250,13837.005678639482
44,0,linear,250,13241.13336491468
45,0,linear,250,13344.635662918203
46,0,linear,250,13391.16566259777
47,0,linear,250,13683.366960762922
48,0,linear,250,13655.742484930333
49,0,linear,250,13880.017461924235
50,0,linear,250,13759.56713482705
51,0,linear,250,13017.15042507318
52,0,linear,250,12812.815649607966
53,0,linear,250,13420.242425738481
54,0,linear,250,13526.90570146779
55,0,linear,250,13567.85028745546
56,0,linear,250,13493.417378298265
57,0,linear,250,13623.390431685253
58,0,linear,250,13503.064819168852
59,0,linear,250,13542.702745355238
60,0,linear,250,13322.452327737612
61,0,linear,250,12999.165510977175
62,0,linear,250,13180.406986340997
63,0,linear,250,13614.557033791947
64,0,linear,250,12848.669587713288
65,0,linear,250,13001.334591525689
66,0,linear,250,13245.085207544636
67,0,linear,250,13789.621854868377
68,0,linear,250,13128.776353185815
69,0,linear,250,13517.795931475646
70,0,linear,250,13559.268430560958
71,0,linear,250,13735.929465824513
72,0,linear,250,13640.803388658553
73,0,linear,250,13179.264290911447
74,0,linear,250,12686.616253857232
75,0,linear,250,12724.844383500582
76,0,linear,250,13354.416386841003
77,0,linear,250,13573.371373604246
78,0,linear,250,13058.457377747738
79,0,linear,250,13934.226566428018
80,0,linear,250,13635.511957071201
81,0,linear,250,13162.193409344243
82,0,linear,250,13207.25683348731
83,0,linear,250,13177.35317748076
84,0,linear,250,12880.92279053353
85,0,linear,250,12953.052241186024
86,0,linear,250,13170.765400151877
87,0,linear,250,12914.250740329157
88,0,linear,250,12823.82437468111
89,0,linear,250,12954.836245519366
90,0,linear,250,13779.54008732468
91,0,linear,250,13142.700043291834
92,0,linear,250,13392.72909656497
93,0,linear,250,12891.377255892747
94,0,linear,250,12450.783442692413
95,0,linear,250,12811.240997035693
96,0,linear,250,12520.02733021265
97,0,linear,250,11996.72365265979
98,0,linear,250,12036.977436953455
99,0,linear,250,13270.345590167075
100,0,linear,250,13197.661059286289
101,0,linear,250,13111.637147348218
102,0,linear,250,12778.801062199394
103,0,linear,250,13828.377471179245
104,0,linear,250,13416.074740743445
105,0,linear,250,13889.126443102714
106,0,linear,250,13980.843703892277
107,0,linear,250,13853.437602869128
108,0,linear,250,13726.80623987146
109,0,linear,250,13043.956855263787
110,0,linear,250,13288.649493748697
111,0,linear,250,13303.28737162064
112,0,linear,250,13101.494417632346
113,0,linear,250,13362.116583138828
114,0,linear,250,13567.754331017702
115,0,linear,250,13831.53224162568
116,0,linear,250,13998.340087602086
117,0,linear,250,14199.142585371645
118,0,linear,250,14326.076939789189
119,0,linear,250,14269.38429242689
120,0,linear,250,13095.497632477181
121,0,linear,250,13138.804931388286
122,0,linear,250,13546.259412690431
123,0,linear,250,14271.204376791393
124,0,linear,250,14258.870446101337
125,0,linear,250,13646.572384758409
126,0,linear,250,13044.111998496348
127,0,linear,250,12337.925522884289
128,0,linear,250,13471.193956310295
129,0,linear,250,13331.759827903405
130,0,linear,250,13950.99187969959
131,0,linear,250,12960.734780368666
132,0,linear,250,12918.042648720217
133,0,linear,250,13194.501005154541
134,0,linear,250,13483.669417167526
135,0,linear,250,13629.03255783122
136,0,linear,250,13285.329912031879
137,0,linear,250,13213.687369981837
138,0,linear,250,12981.096620442686
139,0,linear,250,12874.167724684128
140,0,linear,250,12732.726244552297
141,0,linear,250,12778.634402790945
142,0,linear,250,12789.762258168797
143,0,linear,250,12941.477263551984
144,0,linear,250,12823.093760577118
145,0,linear,250,12548.945226089605
146,0,linear,250,12341.771750032276
147,0,linear,250,13173.51929654882
148,0,linear,250,12890.559983351652
149,0,linear,250,12612.88763523359
150,0,linear,250,12624.023140313695
151,0,linear,250,12229.332867164854
152,0,linear,250,12036.065395542222
153,0,linear,250,12139.71216760411
154,0,linear,250,12085.456088222129
155,0,linear,250,12779.595346503038
156,0,linear,250,12282.01532842758
157,0,linear,250,12652.39706402512
158,0,linear,250,12615.058397488725
159,0,linear,250,12979.781551335938
160,0,linear,250,13078.759072831142
161,0,linear,250,13393.62387339386
162,0,linear,250,13318.322157882145
163,0,linear,250,13248.267193510823
164,0,linear,250,13830.195540714238
165,0,linear,250,13637.962209329226
166,0,linear,250,13498.634166634643
167,0,linear,250,13355.501719752798
168,0,linear,250,13231.182550587015
169,0,linear,250,13076.8144998617
170,0,linear,250,12853.734790714976
171,0,linear,250,12376.018546063917
172,0,linear,250,12563.83166643553
173,0,linear,250,12494.812458734237
174,0,linear,250,12921.545080736969
175,0,linear,250,12735.716419418515
176,0,linear,250,12563.536458705415
177,0,linear,250,12772.93848923764
178,0,linear,250,13221.147734759366
179,0,linear,250,13084.913833791119
180,0,linear,250,12462.924726823141
181,0,linear,250,13142.97365016155
182,0,linear,250,13781.23704377871
183,0,linear,250,13338.029565700519
184,0,linear,250,13704.913763850487
185,0,linear,250,13343.339942803148
186,0,linear,250,13553.330776315119
187,0,linear,250,13382.166791765758
188,0,linear,250,13249.49110182812
189,0,linear,250,12865.592914590074
190,0,linear,250,12913.917220131609
191,0,linear,250,13167.571532361295
192,0,linear,250,13931.18294923769
193,0,linear,250,14481.147812089022
194,0,linear,250,13723.794276453551
195,0,linear,250,13283.60108161794
196,0,linear,250,12893.498474568238
197,0,linear,250,13136.93036437046
198,0,linear,250,13303.024854186831
199,0,linear,250,13064.437839642416
200,0,linear,250,13242.122198163686
201,0,linear,250,12648.47768930182
202,0,linear,250,13155.690696094643
203,0,linear,250,12997.003343323617
204,0,linear,250,13018.437574463644
205,0,linear,250,12368.841378688721
206,0,linear,250,12396.008754070015
207,0,linear,250,12692.251148944533
208,0,linear,250,12624.163712784877
209,0,linear,250,12660.690920361743
210,0,linear,250,12257.29030711875
211,0,linear,250,12705.204796144279
212,0,linear,250,12515.655518594065
213,0,linear,250,11713.722228230263
214,0,linear,250,12519.254282353822
215,0,linear,250,12250.004336929283
216,0,linear,250,11965.16463687075
217,0,linear,250,11757.154449836433
218,0,linear,250,12235.440817504052
219,0,linear,250,12355.365595088157
220,0,linear,250,12091.906006402936
221,0,linear,250,12424.22656119328
222,0,linear,250,12302.7801658063
223,0,linear,250,11409.915026528259
224,0,linear,250,11342.617946660086
225,0,linear,250,11836.723921487353
226,0,linear,250,11625.377232030545
227,0,linear,250,11438.34288896553
228,0,linear,250,11886.114789908495
229,0,linear,250,11586.122770722006
230,0,linear,250,11553.824342907556
231,0,linear,250,11820.396454654669
232,0,linear,250,11973.767529567845
233,0,linear,250,11944.14539806446
234,0,linear,250,12339.414295523846
235,0,linear,250,12237.741315565096
236,0,linear,250,11973.469090364992
237,0,linear,250,11573.998465548468
238,0,linear,250,11656.948680546177
239,0,linear,250,11911.570759027534
240,0,linear,250,11980.992109561666
241,0,linear,250,11775.787595862766
242,0,linear,250,12435.310326154102
243,0,linear,250,12330.843076837844
244,0,linear,250,11716.415338216648
245,0,linear,250,11193.758445830357
246,0,linear,250,12126.734661039865
247,0,linear,250,12404.78996906334
248,0,linear,250,12151.96255333913
249,0,linear,250,12226.762765657046
250,0,linear,250,12975.682298557585
251,0,linear,250,12527.4145854087
252,0,linear,250,12032.946518050274
253,0,linear,250,11666.004558451461
254,0,linear,250,11863.951776289352
255,0,linear,250,11040.24450091589
256,0,linear,250,11267.729545570208
257,0,linear,250,11431.821948643463
258,0,linear,250,11114.815324995343
259,0,linear,250,12049.304140919665
260,0,linear,250,11266.708137319303
261,0,linear,250,11289.087633096497
262,0,linear,250,11907.63882813725
263,0,linear,250,12141.524222826783
264,0,linear,250,12254.548121200382
265,0,linear,250,12225.075271448215
266,0,linear,250,12198.783169338863
267,0,linear,250,12388.266690834706
268,0,linear,250,12721.382044036807
269,0,linear,250,12780.2433711461
270,0,linear,250,12960.737437370584
271,0,linear,250,13117.030179962914
272,0,linear,250,12758.633598915469
273,0,linear,250,12721.59942899185
274,0,linear,250,12445.657192874014
275,0,linear,250,11626.527812159484
276,0,linear,250,11812.493565015307
277,0,linear,250,11900.967206581987
278,0,linear,250,11672.237135735104
279,0,linear,250,11899.952027582114
280,0,linear,250,12364.308316575793
281,0,linear,250,12054.401901431433
282,0,linear,250,12323.067766765758
283,0,linear,250,12531.816572260908
284,0,linear,250,12333.848803540572
285,0,linear,250,12299.433738541356
286,0,linear,250,12237.792161310455
287,0,linear,250,12152.387798675984
288,0,linear,250,12031.936229990306
289,0,linear,250,11969.088390199175
290,0,linear,250,12533.107292775354
291,0,linear,250,11924.138211968668
292,0,linear,250,12065.275445329364
293,0,linear,250,12212.294623469928
294,0,linear,250,12244.736319485695
295,0,linear,250,12356.68430234004
296,0,linear,250,12045.173820987748
297,0,linear,250,11567.50318888252
298,0,linear,250,12470.743062582309
299,0,linear,250,13018.013456580347
300,0,linear,250,12538.47027121261
301,0,linear,250,12360.977796746525
302,0,linear,250,12031.24757193385
303,0,linear,250,12281.445031940257
304,0,linear,250,11992.693394579721
305,0,linear,250,11917.003111763095
306,0,linear,250,11914.641857828508
307,0,linear,250,12195.892999887636
308,0,linear,250,11740.639749852273
309,0,linear,250,11678.836793086977
310,0,linear,250,12338.189110035102
311,0,linear,250,11634.239829656257
312,0,linear,250,11738.759021206593
313,0,linear,250,11226.343323499956
314,0,linear,250,11080.795918162923
315,0,linear,250,11509.444625638404
316,0,linear,250,12150.329825634757
317,0,linear,250,11407.490353481551
318,0,linear,250,11572.36859870548
319,0,linear,250,11315.471299039416
320,0,linear,250,11525.018232868577
321,0,linear,250,11827.180567544237
322,0,linear,250,11798.863418383557
323,0,linear,250,11745.550741843886
324,0,linear,250,11681.416392177627
325,0,linear,250,11344.823175776468
326,0,linear,250,11788.436457308837
327,0,linear,250,11627.545354602007
328,0,linear,250,11964.911323648934
329,0,linear,250,11488.517453306464
330,0,linear,250,11337.906658562355
331,0,linear,250,11638.576073837694
332,0,linear,250,11883.084579633036
333,0,linear,250,11773.615661726091
334,0,linear,250,12367.890049681975
335,0,linear,250,12942.643657217295
336,0,linear,250,12322.8763571754
337,0,linear,250,12238.387014893477
338,0,linear,250,11775.137103725594
339,0,linear,250,12425.48619880944
340,0,linear,250,12076.058845746988
