order,simulation,sch_method,chain lenght,found_distances
0,0,adaptive,2000,35040.08304991701
1,0,adaptive,2000,13611.668790783777
2,0,adaptive,2000,13057.841049921593
3,0,adaptive,2000,13763.86359380467
4,0,adaptive,2000,13128.549162335823
5,0,adaptive,2000,13426.775069517145
6,0,adaptive,2000,12689.85581263815
7,0,adaptive,2000,13894.670935701115
8,0,adaptive,2000,13293.783595143026
9,0,adaptive,2000,12017.39302979111
10,0,adaptive,2000,11852.444231767891
11,0,adaptive,2000,11738.737796189382
12,0,adaptive,2000,13101.632961452351
13,0,adaptive,2000,12885.370804821916
14,0,adaptive,2000,11349.140712017064
15,0,adaptive,2000,11691.659215437085
16,0,adaptive,2000,11131.870894668527
17,0,adaptive,2000,11162.116620648603
18,0,adaptive,2000,11299.142995637278
19,0,adaptive,2000,10854.701103673156
20,0,adaptive,2000,11121.673320106092
21,0,adaptive,2000,11036.60640740893
22,0,adaptive,2000,10922.8315380694
23,0,adaptive,2000,11181.410837372205
24,0,adaptive,2000,11444.384649723777
25,0,adaptive,2000,10270.690538368137
26,0,adaptive,2000,11102.001069022059
27,0,adaptive,2000,10650.203225905065
28,0,adaptive,2000,9955.707421598014
29,0,adaptive,2000,10293.008343284011
30,0,adaptive,2000,8680.266511365302
31,0,adaptive,2000,8717.105072652375
32,0,adaptive,2000,8823.57656351295
33,0,adaptive,2000,8809.537517061146
34,0,adaptive,2000,9187.147306685436
35,0,adaptive,2000,8833.501693649834
36,0,adaptive,2000,8526.399066057611
37,0,adaptive,2000,8138.89716625359
38,0,adaptive,2000,8423.985809709964
39,0,adaptive,2000,8818.720385875678
40,0,adaptive,2000,8668.171641279963
41,0,adaptive,2000,7594.005001705397
42,0,adaptive,2000,8046.89294571227
43,0,adaptive,2000,7985.925808414758
44,0,adaptive,2000,7351.3351377059225
45,0,adaptive,2000,7390.339827134764
46,0,adaptive,2000,7157.54193455836
47,0,adaptive,2000,7412.627812710719
48,0,adaptive,2000,7298.964891405613
49,0,adaptive,2000,7423.5321726635575
50,0,adaptive,2000,6734.107636373021
51,0,adaptive,2000,6412.698543656712
52,0,adaptive,2000,6389.3122802922835
53,0,adaptive,2000,6463.396735885733
54,0,adaptive,2000,6245.393866941785
55,0,adaptive,2000,6421.237889777377
56,0,adaptive,2000,6188.227550407533
57,0,adaptive,2000,6185.267936662895
58,0,adaptive,2000,6359.404829730845
59,0,adaptive,2000,6315.541283644485
60,0,adaptive,2000,6178.234327958065
61,0,adaptive,2000,6129.830550993541
62,0,adaptive,2000,6450.427866957059
63,0,adaptive,2000,6375.336496979337
