order,simulation,sch_method,chain lenght,found_distances
0,0,geometric,750,33938.12304878835
1,0,geometric,750,16130.640714597082
2,0,geometric,750,13451.615809841465
3,0,geometric,750,13309.150590586147
4,0,geometric,750,13768.361086611167
5,0,geometric,750,13413.699764702325
6,0,geometric,750,13593.361716973222
7,0,geometric,750,13182.76273555016
8,0,geometric,750,13357.567806993091
9,0,geometric,750,13979.66151694135
10,0,geometric,750,12815.118291743293
11,0,geometric,750,12858.151725338761
12,0,geometric,750,13453.962273442672
13,0,geometric,750,14587.069579619063
14,0,geometric,750,13573.763831144297
15,0,geometric,750,12730.230683149404
16,0,geometric,750,12377.76545081642
17,0,geometric,750,13120.335004805851
18,0,geometric,750,13312.944412467134
19,0,geometric,750,13052.814212592693
20,0,geometric,750,12487.784169814868
21,0,geometric,750,12990.51982804597
22,0,geometric,750,13104.365965724855
23,0,geometric,750,12678.066453766194
24,0,geometric,750,12398.069779202367
25,0,geometric,750,11931.362371903508
26,0,geometric,750,12244.959130213032
27,0,geometric,750,12056.420012488592
28,0,geometric,750,11551.758127706562
29,0,geometric,750,11454.784286936583
30,0,geometric,750,10882.519847875927
31,0,geometric,750,11455.960431320345
32,0,geometric,750,11862.04990673242
33,0,geometric,750,12747.937135282638
34,0,geometric,750,12334.928383140661
35,0,geometric,750,12611.491031413534
36,0,geometric,750,12158.989433850264
37,0,geometric,750,11980.203790252186
38,0,geometric,750,11753.147670180491
39,0,geometric,750,11454.669552475436
40,0,geometric,750,11468.751355769165
41,0,geometric,750,11231.318436136187
42,0,geometric,750,11195.068223755186
43,0,geometric,750,11285.310604303586
44,0,geometric,750,11345.229367555194
45,0,geometric,750,11014.428404870312
46,0,geometric,750,11497.528136045388
47,0,geometric,750,11457.3942234382
48,0,geometric,750,11251.964016769107
49,0,geometric,750,10995.721311719271
50,0,geometric,750,10737.721577239628
51,0,geometric,750,11503.67945277294
52,0,geometric,750,10631.854211131924
53,0,geometric,750,10672.24949091724
54,0,geometric,750,10330.477281204805
55,0,geometric,750,10291.422732667674
56,0,geometric,750,10251.311676065387
57,0,geometric,750,10496.564161468195
58,0,geometric,750,10493.693367052789
59,0,geometric,750,10167.142896154266
60,0,geometric,750,10338.300099654018
61,0,geometric,750,9489.653120769926
62,0,geometric,750,9917.382807261933
63,0,geometric,750,10041.682791580108
64,0,geometric,750,9730.412284710239
65,0,geometric,750,9393.146195432062
66,0,geometric,750,9606.608812995522
67,0,geometric,750,9975.840853865868
68,0,geometric,750,10019.036850510098
69,0,geometric,750,9512.536339732203
70,0,geometric,750,9490.123624946242
71,0,geometric,750,9323.10042764336
72,0,geometric,750,9041.498035282772
73,0,geometric,750,8431.084138299806
74,0,geometric,750,8192.12125947213
75,0,geometric,750,8287.662300600905
76,0,geometric,750,9034.390315859437
77,0,geometric,750,9128.885354431535
78,0,geometric,750,9131.241731676133
79,0,geometric,750,8856.03074594265
80,0,geometric,750,9362.115261355395
81,0,geometric,750,9441.053914002114
82,0,geometric,750,9268.378763545481
83,0,geometric,750,9123.02001793402
84,0,geometric,750,9049.554998140937
85,0,geometric,750,9157.770066270425
86,0,geometric,750,8996.043402914003
87,0,geometric,750,8580.69284212815
88,0,geometric,750,8403.79662897755
89,0,geometric,750,8236.026660304226
90,0,geometric,750,8709.653161844022
91,0,geometric,750,8329.7241515951
92,0,geometric,750,8305.28560783157
93,0,geometric,750,8124.021532205592
94,0,geometric,750,8372.169048423075
95,0,geometric,750,8188.7579349443895
96,0,geometric,750,8231.32090790913
97,0,geometric,750,8231.854242545476
98,0,geometric,750,7891.450997704722
99,0,geometric,750,7643.776583578092
100,0,geometric,750,8226.083910839348
101,0,geometric,750,7733.439429796815
102,0,geometric,750,7569.58525453695
103,0,geometric,750,7480.966937788161
104,0,geometric,750,7856.0999916190995
105,0,geometric,750,7840.438284539798
106,0,geometric,750,7735.096316149744
107,0,geometric,750,7393.274866807059
108,0,geometric,750,7408.061008772007
109,0,geometric,750,7342.556694666847
110,0,geometric,750,7326.058267121623
111,0,geometric,750,7356.184764441877
112,0,geometric,750,7226.111327337293
113,0,geometric,750,6993.393664490648
114,0,geometric,750,7106.208692393559
115,0,geometric,750,6916.900703109041
116,0,geometric,750,7080.05148426477
117,0,geometric,750,7192.949096608929
118,0,geometric,750,7253.686722796984
119,0,geometric,750,6860.714985633611
120,0,geometric,750,6808.628487296477
121,0,geometric,750,6979.590836825403
122,0,geometric,750,7030.132920721879
123,0,geometric,750,6886.718186571725
124,0,geometric,750,6908.246781228102
125,0,geometric,750,6596.481717704852
126,0,geometric,750,6736.310775448533
127,0,geometric,750,6470.307211244855
128,0,geometric,750,6214.882078752102
129,0,geometric,750,6240.809109051793
130,0,geometric,750,6243.291810864552
131,0,geometric,750,6340.1088843396
132,0,geometric,750,6430.018999000804
133,0,geometric,750,6631.630284928203
134,0,geometric,750,6346.210039070311
135,0,geometric,750,6163.779980317018
136,0,geometric,750,5947.257624346426
137,0,geometric,750,6008.878065008576
138,0,geometric,750,6075.008020790564
139,0,geometric,750,6035.321377200966
140,0,geometric,750,5895.640629380521
141,0,geometric,750,5741.5074872045425
142,0,geometric,750,6024.859619811096
143,0,geometric,750,6076.989406679535
144,0,geometric,750,6099.203371385043
145,0,geometric,750,5885.2426447759535
146,0,geometric,750,5679.135381376117
147,0,geometric,750,5470.808188628016
148,0,geometric,750,5502.314216281243
149,0,geometric,750,5417.990927143248
150,0,geometric,750,5356.003673515181
151,0,geometric,750,5369.7002972791
152,0,geometric,750,5370.8087164744375
153,0,geometric,750,5494.133726122368
154,0,geometric,750,5564.049051848437
155,0,geometric,750,5562.347456546783
156,0,geometric,750,5562.876143359316
157,0,geometric,750,5484.048528811274
158,0,geometric,750,5374.280226986163
159,0,geometric,750,5320.981849117887
160,0,geometric,750,5192.424838922252
161,0,geometric,750,5147.777384100234
162,0,geometric,750,5227.540918181997
163,0,geometric,750,5209.60273346327
164,0,geometric,750,5190.978310013962
165,0,geometric,750,5238.533743865712
166,0,geometric,750,5236.071924731432
167,0,geometric,750,5158.852246658162
168,0,geometric,750,5066.15024373785
169,0,geometric,750,4959.059660299281
170,0,geometric,750,5010.952568358012
171,0,geometric,750,4997.863088037329
172,0,geometric,750,4915.265004859145
173,0,geometric,750,4894.919017690987
174,0,geometric,750,4802.880684155158
175,0,geometric,750,4753.621119726597
176,0,geometric,750,4576.688237269473
177,0,geometric,750,4629.989919295585
178,0,geometric,750,4645.355392010283
179,0,geometric,750,4674.256277131827
180,0,geometric,750,4676.339426057134
181,0,geometric,750,4645.001817457786
182,0,geometric,750,4557.202549688497
183,0,geometric,750,4561.065234791673
184,0,geometric,750,4530.967231959657
185,0,geometric,750,4545.844292421903
186,0,geometric,750,4492.1392029525505
187,0,geometric,750,4498.722113357615
188,0,geometric,750,4518.068936957919
189,0,geometric,750,4624.005502260595
190,0,geometric,750,4692.422378427543
191,0,geometric,750,4556.345943452039
192,0,geometric,750,4405.9226662698675
193,0,geometric,750,4361.477715844625
194,0,geometric,750,4305.374405659902
195,0,geometric,750,4293.658766531625
196,0,geometric,750,4387.512653206254
197,0,geometric,750,4366.284329324273
198,0,geometric,750,4381.261383606036
199,0,geometric,750,4384.19843488978
200,0,geometric,750,4376.82955034016
201,0,geometric,750,4356.05580646583
202,0,geometric,750,4339.582782713334
203,0,geometric,750,4333.209452014114
204,0,geometric,750,4318.938605371336
205,0,geometric,750,4260.771092788306
206,0,geometric,750,4261.80663755328
207,0,geometric,750,4233.740178687058
208,0,geometric,750,4210.53510796159
209,0,geometric,750,4251.769342722788
210,0,geometric,750,4190.100882767596
211,0,geometric,750,4137.866608146799
212,0,geometric,750,4168.456070774774
213,0,geometric,750,4166.310316579783
214,0,geometric,750,4169.283564776737
215,0,geometric,750,4102.489649118409
216,0,geometric,750,4111.957982077759
217,0,geometric,750,4106.988223996517
218,0,geometric,750,4117.1174620962165
219,0,geometric,750,4069.5421591409795
220,0,geometric,750,4016.353794440828
221,0,geometric,750,3940.1238254580085
222,0,geometric,750,3898.519055411712
223,0,geometric,750,3853.3190356175605
224,0,geometric,750,3864.8072976688914
225,0,geometric,750,3839.285024291773
226,0,geometric,750,3844.3024219383146
227,0,geometric,750,3889.4405057434765
228,0,geometric,750,3850.853410510907
229,0,geometric,750,3895.1560618056697
230,0,geometric,750,3846.68193532163
231,0,geometric,750,3837.6888740318077
232,0,geometric,750,3761.422755920583
233,0,geometric,750,3734.1773039461505
234,0,geometric,750,3692.317272988048
235,0,geometric,750,3665.0345879473816
236,0,geometric,750,3625.738172441775
237,0,geometric,750,3621.576632967085
238,0,geometric,750,3558.8667746468136
239,0,geometric,750,3522.2609873498395
240,0,geometric,750,3463.787553435226
241,0,geometric,750,3476.4574001621004
242,0,geometric,750,3447.75897478858
243,0,geometric,750,3466.352547882527
244,0,geometric,750,3443.475894830072
245,0,geometric,750,3422.704965980332
246,0,geometric,750,3420.490307863093
247,0,geometric,750,3438.29870490424
248,0,geometric,750,3393.6976131181623
249,0,geometric,750,3372.600689603836
250,0,geometric,750,3353.349033385596
251,0,geometric,750,3353.7145543078764
252,0,geometric,750,3294.1185334914544
253,0,geometric,750,3276.600546669742
