,0
0,150
1,149
2,136
3,126
4,385
5,440
6,102
7,113
8,125
9,135
10,148
11,160
12,171
13,184
14,399
15,404
16,226
17,233
18,237
19,238
20,265
21,268
22,272
23,275
24,278
25,280
26,281
27,427
28,340
29,341
30,307
31,308
32,309
33,338
34,345
35,346
36,347
37,432
38,348
39,349
40,350
41,351
42,342
43,352
44,353
45,354
46,433
47,355
48,356
49,357
50,434
51,358
52,359
53,360
54,429
55,321
56,320
57,294
58,295
59,277
60,296
61,322
62,323
63,297
64,298
65,299
66,300
67,301
68,302
69,327
70,326
71,325
72,324
73,428
74,343
75,361
76,362
77,363
78,430
79,364
80,365
81,366
82,367
83,344
84,329
85,328
86,303
87,304
88,305
89,330
90,331
91,332
92,431
93,368
94,369
95,370
96,371
97,372
98,373
99,374
100,337
101,336
102,426
103,335
104,334
105,333
106,306
107,436
108,274
109,422
110,437
111,271
112,419
113,267
114,415
115,263
116,235
117,262
118,261
119,421
120,418
121,260
122,412
123,411
124,259
125,258
126,257
127,256
128,255
129,254
130,253
131,417
132,416
133,250
134,251
135,252
136,231
137,223
138,214
139,202
140,190
141,189
142,201
143,401
144,230
145,222
146,213
147,200
148,188
149,176
150,396
151,163
152,164
153,153
154,140
155,128
156,117
157,106
158,99
159,79
160,47
161,48
162,80
163,81
164,49
165,50
166,51
167,52
168,84
169,83
170,82
171,438
172,107
173,118
174,129
175,387
176,389
177,141
178,154
179,165
180,177
181,397
182,178
183,394
184,393
185,166
186,155
187,142
188,130
189,143
190,144
191,156
192,167
193,180
194,193
195,192
196,179
197,191
198,203
199,215
200,224
201,232
202,407
203,408
204,403
205,216
206,204
207,205
208,194
209,195
210,206
211,217
212,207
213,196
214,181
215,168
216,157
217,145
218,132
219,122
220,110
221,109
222,121
223,131
224,390
225,120
226,384
227,119
228,108
229,380
230,381
231,85
232,86
233,377
234,87
235,88
236,89
237,57
238,58
239,90
240,91
241,92
242,100
243,435
244,111
245,123
246,133
247,146
248,158
249,169
250,182
251,197
252,208
253,218
254,410
255,409
256,413
257,264
258,236
259,225
260,219
261,209
262,198
263,183
264,170
265,159
266,147
267,134
268,124
269,112
270,382
271,383
272,97
273,32
274,376
275,375
276,31
277,64
278,96
279,379
280,95
281,378
282,94
283,93
284,61
285,62
286,63
287,30
288,29
289,28
290,27
291,60
292,59
293,26
294,25
295,24
296,23
297,56
298,55
299,22
300,21
301,54
302,53
303,20
304,19
305,18
306,17
307,16
308,15
309,14
310,13
311,12
312,45
313,46
314,78
315,77
316,76
317,98
318,105
319,104
320,116
321,127
322,139
323,138
324,152
325,392
326,162
327,175
328,187
329,199
330,212
331,221
332,229
333,228
334,220
335,211
336,210
337,402
338,406
339,240
340,241
341,242
342,243
343,244
344,245
345,246
346,247
347,248
348,249
349,414
350,424
351,420
352,423
353,286
354,287
355,288
356,289
357,290
358,291
359,292
360,293
361,319
362,318
363,317
364,316
365,315
366,314
367,313
368,312
369,339
370,311
371,285
372,284
373,310
374,283
375,282
376,439
377,279
378,425
379,276
380,273
381,269
382,270
383,266
384,239
385,234
386,227
387,405
388,400
389,185
390,172
391,161
392,173
393,395
394,398
395,186
396,174
397,151
398,391
399,137
400,115
401,71
402,70
403,38
404,39
405,40
406,72
407,73
408,41
409,42
410,74
411,75
412,43
413,44
414,11
415,10
416,9
417,8
418,7
419,6
420,5
421,4
422,3
423,36
424,37
425,69
426,68
427,67
428,35
429,2
430,1
431,0
432,441
433,33
434,34
435,66
436,65
437,101
438,103
439,114
440,386
441,388
