order,simulation,sch_method,chain lenght,found_distances
0,5,adaptive,2000,1431.7107316698487
1,5,adaptive,2000,1040.3149520115396
2,5,adaptive,2000,1034.5697112716318
3,5,adaptive,2000,1133.3323069353437
4,5,adaptive,2000,971.0326411711371
5,5,adaptive,2000,1020.4594701535607
6,5,adaptive,2000,1089.1748162119482
7,5,adaptive,2000,989.1366597937894
8,5,adaptive,2000,1013.6856698009163
9,5,adaptive,2000,1071.4193552736044
10,5,adaptive,2000,980.0505391603542
11,5,adaptive,2000,881.0659880091956
12,5,adaptive,2000,1023.3954573965481
13,5,adaptive,2000,946.5133237052886
14,5,adaptive,2000,869.050203559273
15,5,adaptive,2000,928.3866370707934
16,5,adaptive,2000,891.5994586030382
17,5,adaptive,2000,1016.7560108392842
18,5,adaptive,2000,857.4455304427819
19,5,adaptive,2000,913.2837351740874
20,5,adaptive,2000,917.8905018150482
21,5,adaptive,2000,880.3996865538759
22,5,adaptive,2000,854.5444068156994
23,5,adaptive,2000,834.0823348244212
24,5,adaptive,2000,980.2360056296098
25,5,adaptive,2000,877.4989544378259
26,5,adaptive,2000,841.7970954262607
27,5,adaptive,2000,817.2672916498427
28,5,adaptive,2000,846.1690241165024
29,5,adaptive,2000,852.5859383101551
30,5,adaptive,2000,869.1993557496105
31,5,adaptive,2000,798.9462192866565
32,5,adaptive,2000,812.1246884373062
33,5,adaptive,2000,763.8318251934861
34,5,adaptive,2000,760.5188596148905
35,5,adaptive,2000,739.2935133723233
36,5,adaptive,2000,804.0652134219417
37,5,adaptive,2000,839.5597457179474
38,5,adaptive,2000,701.704070708044
39,5,adaptive,2000,706.0997445516131
40,5,adaptive,2000,647.5419612548408
41,5,adaptive,2000,697.1364291770623
42,5,adaptive,2000,750.8092899932631
43,5,adaptive,2000,751.741592567355
44,5,adaptive,2000,606.9780893329425
45,5,adaptive,2000,628.89271180622
46,5,adaptive,2000,617.0041347827719
47,5,adaptive,2000,677.2349416090589
48,5,adaptive,2000,621.9149421530756
49,5,adaptive,2000,627.8715888189333
50,5,adaptive,2000,536.0761877668216
51,5,adaptive,2000,615.4692595484502
52,5,adaptive,2000,532.621212331052
53,5,adaptive,2000,541.5487774145065
54,5,adaptive,2000,549.7341815205586
55,5,adaptive,2000,599.8057048303926
56,5,adaptive,2000,544.9224787886159
57,5,adaptive,2000,530.6566090670362
58,5,adaptive,2000,529.6025629301164
59,5,adaptive,2000,526.3186110809379
60,5,adaptive,2000,486.88909711844434
61,5,adaptive,2000,545.3268008799683
62,5,adaptive,2000,522.8759727416465
63,5,adaptive,2000,477.08729969263356
64,5,adaptive,2000,497.7348833822239
65,5,adaptive,2000,467.2224804243904
66,5,adaptive,2000,476.57973463642975
67,5,adaptive,2000,508.25532137826497
68,5,adaptive,2000,505.52148481900554
69,5,adaptive,2000,489.03826955816226
70,5,adaptive,2000,456.65030601023113
71,5,adaptive,2000,456.86917264920265
72,5,adaptive,2000,461.31502607921135
73,5,adaptive,2000,451.00527166356875
74,5,adaptive,2000,473.0259728083618
75,5,adaptive,2000,466.0807346133106
76,5,adaptive,2000,451.7942125715181
77,5,adaptive,2000,437.1341058436951
78,5,adaptive,2000,456.5827839737677
79,5,adaptive,2000,447.10320105702544
80,5,adaptive,2000,446.49319489416393
81,5,adaptive,2000,442.2978717198579
82,5,adaptive,2000,446.3351104645884
83,5,adaptive,2000,480.1734923441541
84,5,adaptive,2000,455.617889155871
85,5,adaptive,2000,445.1702426185112
86,5,adaptive,2000,441.189210716652
87,5,adaptive,2000,445.18391291069696
88,5,adaptive,2000,459.5265807995267
89,5,adaptive,2000,445.4474165568788
90,5,adaptive,2000,447.7282090909535
91,5,adaptive,2000,447.97044212459866
92,5,adaptive,2000,440.39271370978713
93,5,adaptive,2000,447.22685133215555
94,5,adaptive,2000,452.01150714899336
95,5,adaptive,2000,445.05451488669354
96,5,adaptive,2000,448.6301712202505
97,5,adaptive,2000,454.62806193284496
