order,simulation,sch_method,chain lenght,found_distances
0,5,geometric,250,1682.395207146702
1,5,geometric,250,874.3179198706107
2,5,geometric,250,976.2402468550839
3,5,geometric,250,979.2450679297518
4,5,geometric,250,1012.094390036935
5,5,geometric,250,1001.8347906767325
6,5,geometric,250,932.9514620704139
7,5,geometric,250,1073.6951362342036
8,5,geometric,250,1057.6482862936807
9,5,geometric,250,998.8227563020237
10,5,geometric,250,997.0225376025046
11,5,geometric,250,1109.360528175602
12,5,geometric,250,1138.4415947791229
13,5,geometric,250,1006.1131698685051
14,5,geometric,250,1037.4414868972115
15,5,geometric,250,940.389694760521
16,5,geometric,250,956.987259697084
17,5,geometric,250,980.2463650100647
18,5,geometric,250,952.9562402843494
19,5,geometric,250,1037.466391581829
20,5,geometric,250,963.5035880192946
21,5,geometric,250,1018.1280820964656
22,5,geometric,250,1076.1150464081552
23,5,geometric,250,1019.3203959896974
24,5,geometric,250,1023.653226562716
25,5,geometric,250,1039.8610269846056
26,5,geometric,250,1091.1317566901207
27,5,geometric,250,1014.4377144048248
28,5,geometric,250,941.0520971683667
29,5,geometric,250,1007.4843097930429
30,5,geometric,250,1050.4135406244384
31,5,geometric,250,1032.0370451890208
32,5,geometric,250,1019.4485438810364
33,5,geometric,250,1067.5936717670443
34,5,geometric,250,1065.4747199739336
35,5,geometric,250,1013.4475548726213
36,5,geometric,250,919.4202508033975
37,5,geometric,250,988.5318054575864
38,5,geometric,250,1059.879102433592
39,5,geometric,250,1001.6652086249667
40,5,geometric,250,964.6477893471229
41,5,geometric,250,1009.5426706833306
42,5,geometric,250,880.1060175330036
43,5,geometric,250,1033.7487767279
44,5,geometric,250,1115.7215587059625
45,5,geometric,250,876.6486832845565
46,5,geometric,250,891.7371586329435
47,5,geometric,250,937.9748120555032
48,5,geometric,250,1011.5272523289827
49,5,geometric,250,939.7498540269795
50,5,geometric,250,1058.1993317837207
51,5,geometric,250,903.0390487606926
52,5,geometric,250,1085.6112907428967
53,5,geometric,250,910.3006196719645
54,5,geometric,250,918.5731514088033
55,5,geometric,250,1040.2339928212639
56,5,geometric,250,973.1674866397451
57,5,geometric,250,1048.620219268537
58,5,geometric,250,885.2679464892548
59,5,geometric,250,890.6807822608005
60,5,geometric,250,894.7680469410833
61,5,geometric,250,843.4922717734623
62,5,geometric,250,924.3649520098807
63,5,geometric,250,864.3173340545674
64,5,geometric,250,932.6145624957725
65,5,geometric,250,909.1294427487995
66,5,geometric,250,1043.5932367968378
67,5,geometric,250,1096.636226466561
68,5,geometric,250,928.258896729731
69,5,geometric,250,1002.6256252621765
70,5,geometric,250,1055.7630295969468
71,5,geometric,250,806.2274352389787
72,5,geometric,250,967.815244586517
73,5,geometric,250,1004.0455798931328
74,5,geometric,250,898.6607432280958
75,5,geometric,250,948.2700635060196
76,5,geometric,250,847.5183227865797
77,5,geometric,250,766.5214194799216
78,5,geometric,250,933.1436330419942
79,5,geometric,250,850.7370406391871
80,5,geometric,250,937.7505399489473
81,5,geometric,250,1021.3906443500839
82,5,geometric,250,858.1006099244871
83,5,geometric,250,890.1276776683884
84,5,geometric,250,952.3452921125588
85,5,geometric,250,818.4042273330796
86,5,geometric,250,860.0884882081797
87,5,geometric,250,917.2461178179324
88,5,geometric,250,939.4625093941852
89,5,geometric,250,811.8538515718161
90,5,geometric,250,939.6859381038938
91,5,geometric,250,838.8737550063423
92,5,geometric,250,940.77056431599
93,5,geometric,250,839.9136080548924
94,5,geometric,250,835.7008787647338
95,5,geometric,250,882.4922094754247
96,5,geometric,250,928.7640454740298
97,5,geometric,250,933.2319301226661
98,5,geometric,250,832.3720795475267
99,5,geometric,250,1016.7750853465211
100,5,geometric,250,901.540572713867
101,5,geometric,250,862.9687682968575
102,5,geometric,250,936.4567480735438
103,5,geometric,250,841.902082910719
104,5,geometric,250,871.920935232883
105,5,geometric,250,885.1635553256797
106,5,geometric,250,885.0891513765224
107,5,geometric,250,932.7226141889471
108,5,geometric,250,898.352159046609
109,5,geometric,250,829.2030502049497
110,5,geometric,250,905.814511668817
111,5,geometric,250,871.1067347766601
112,5,geometric,250,793.5429777765573
113,5,geometric,250,818.532899528603
114,5,geometric,250,922.4206112863102
115,5,geometric,250,727.9061525934858
116,5,geometric,250,816.9902426359888
117,5,geometric,250,659.69919974497
118,5,geometric,250,800.8171354155909
119,5,geometric,250,758.5729780755875
120,5,geometric,250,785.2620649961419
121,5,geometric,250,767.4217803505697
122,5,geometric,250,748.8765938259887
123,5,geometric,250,817.4470159612515
124,5,geometric,250,858.8067890627584
125,5,geometric,250,876.9237116261484
126,5,geometric,250,801.2317314694288
127,5,geometric,250,831.878611828224
128,5,geometric,250,878.7136963018725
129,5,geometric,250,923.8197622636851
130,5,geometric,250,760.8665674485945
131,5,geometric,250,664.1783246685762
132,5,geometric,250,790.6200143647502
133,5,geometric,250,830.3266045292349
134,5,geometric,250,827.7070504441577
135,5,geometric,250,842.2688765823158
136,5,geometric,250,786.8544279292577
137,5,geometric,250,789.5791230989323
138,5,geometric,250,718.5489136005436
139,5,geometric,250,716.037077010808
140,5,geometric,250,918.4485742116151
141,5,geometric,250,771.8668592365988
142,5,geometric,250,769.0569433214889
143,5,geometric,250,741.5192781805466
144,5,geometric,250,808.5468684159789
145,5,geometric,250,785.9121791368613
146,5,geometric,250,722.8722626910794
147,5,geometric,250,757.0907096945333
148,5,geometric,250,771.8885065601393
149,5,geometric,250,813.7291006765939
150,5,geometric,250,773.8213063657686
151,5,geometric,250,761.7246966987937
152,5,geometric,250,783.5153854741659
153,5,geometric,250,774.4835454470361
154,5,geometric,250,777.2733935110587
155,5,geometric,250,780.2183536755649
156,5,geometric,250,749.619118319293
157,5,geometric,250,658.8964151247504
158,5,geometric,250,762.0897354149821
159,5,geometric,250,717.8591550811589
160,5,geometric,250,643.2275521207758
161,5,geometric,250,664.2828556201987
162,5,geometric,250,715.6639485648425
163,5,geometric,250,722.7502376776669
164,5,geometric,250,819.9949167726078
165,5,geometric,250,794.3253950431061
166,5,geometric,250,784.5480671226626
167,5,geometric,250,696.1820263536396
168,5,geometric,250,686.7041363086207
169,5,geometric,250,678.601939898676
170,5,geometric,250,856.95375064688
171,5,geometric,250,699.8316138882886
172,5,geometric,250,726.370002869271
173,5,geometric,250,637.2436411067658
174,5,geometric,250,720.0719174661309
175,5,geometric,250,677.9849484594364
176,5,geometric,250,632.0268999946779
177,5,geometric,250,763.0873127645585
178,5,geometric,250,735.5704634511656
179,5,geometric,250,677.2259178296122
180,5,geometric,250,619.2328940214297
181,5,geometric,250,648.0477873059609
182,5,geometric,250,668.8567471768581
183,5,geometric,250,623.0608814469504
184,5,geometric,250,583.9850183348453
185,5,geometric,250,605.2518852617889
186,5,geometric,250,702.7985960107546
187,5,geometric,250,642.8230799432465
188,5,geometric,250,614.9589665935765
189,5,geometric,250,642.4346625500477
190,5,geometric,250,594.7715581170232
191,5,geometric,250,607.193462577588
192,5,geometric,250,666.9247142384035
193,5,geometric,250,663.6293058519599
194,5,geometric,250,619.1605506202112
195,5,geometric,250,601.8240378160085
196,5,geometric,250,652.4433258669178
197,5,geometric,250,659.635818271864
198,5,geometric,250,611.7451365710156
199,5,geometric,250,546.022905474336
200,5,geometric,250,607.0769300468237
201,5,geometric,250,607.0166834406173
202,5,geometric,250,629.6220886129336
203,5,geometric,250,625.3754411088848
204,5,geometric,250,585.6861356905987
205,5,geometric,250,649.8234713557919
206,5,geometric,250,645.0415186620196
207,5,geometric,250,613.4900035624692
208,5,geometric,250,652.0894850457311
209,5,geometric,250,603.0474508289053
210,5,geometric,250,607.093596897009
211,5,geometric,250,619.7163865834873
212,5,geometric,250,585.6821747350252
213,5,geometric,250,601.8977325956504
214,5,geometric,250,565.3065148910539
215,5,geometric,250,601.2465483764172
216,5,geometric,250,602.2779790414859
217,5,geometric,250,581.3901393572271
218,5,geometric,250,624.7411143291836
219,5,geometric,250,653.9176785858142
220,5,geometric,250,586.0426466947462
221,5,geometric,250,598.0279956772924
222,5,geometric,250,594.0440241693626
223,5,geometric,250,598.2177295154236
224,5,geometric,250,578.5922617975502
225,5,geometric,250,566.451468492836
226,5,geometric,250,534.7289753837733
227,5,geometric,250,599.10752910453
228,5,geometric,250,657.5243400400495
229,5,geometric,250,595.6382840439143
230,5,geometric,250,610.0753033012282
231,5,geometric,250,621.263589163931
232,5,geometric,250,617.0355975834691
233,5,geometric,250,560.4206478407602
234,5,geometric,250,539.5443619138305
235,5,geometric,250,510.36303128314154
236,5,geometric,250,561.3690176390414
237,5,geometric,250,613.2212110005123
238,5,geometric,250,579.406252285818
239,5,geometric,250,511.41199771444695
240,5,geometric,250,541.9006156128331
241,5,geometric,250,540.4699571319711
242,5,geometric,250,515.0124227233639
243,5,geometric,250,519.8577881894425
244,5,geometric,250,583.9565290878265
245,5,geometric,250,585.86069043248
246,5,geometric,250,582.8551979443091
247,5,geometric,250,563.5086949239475
248,5,geometric,250,558.7653950695127
249,5,geometric,250,550.5817713124505
250,5,geometric,250,514.9762787891584
251,5,geometric,250,515.186844835996
252,5,geometric,250,507.7814325560585
253,5,geometric,250,501.0151165705468
254,5,geometric,250,514.9795086712826
255,5,geometric,250,476.31848920043194
256,5,geometric,250,478.15724515856255
257,5,geometric,250,480.02925131408335
258,5,geometric,250,480.24800930827166
259,5,geometric,250,483.59740905887463
260,5,geometric,250,502.85221582412987
261,5,geometric,250,537.7914181705088
262,5,geometric,250,541.0161645112088
263,5,geometric,250,485.2658635842514
264,5,geometric,250,498.3283687362532
265,5,geometric,250,520.1372771065255
266,5,geometric,250,501.03949055940586
267,5,geometric,250,513.6044018854298
268,5,geometric,250,557.9467672306428
269,5,geometric,250,515.3932054782365
270,5,geometric,250,507.24882397305987
271,5,geometric,250,511.82908889598775
272,5,geometric,250,521.7306160640626
273,5,geometric,250,509.81693797977994
274,5,geometric,250,493.40977232040956
275,5,geometric,250,494.44014061056083
276,5,geometric,250,492.5378129457861
277,5,geometric,250,491.45777068553707
278,5,geometric,250,489.49940734702415
279,5,geometric,250,490.06407898294896
280,5,geometric,250,476.16243107804263
281,5,geometric,250,471.9041685826231
282,5,geometric,250,499.3194988613153
283,5,geometric,250,489.1517707216882
284,5,geometric,250,490.3137494272016
285,5,geometric,250,478.36777253098796
286,5,geometric,250,483.0896206493863
287,5,geometric,250,485.2591823886448
288,5,geometric,250,459.36301869297614
289,5,geometric,250,465.06394582073943
290,5,geometric,250,452.5420143168528
291,5,geometric,250,468.6382737967372
292,5,geometric,250,471.0828220882099
293,5,geometric,250,444.91770550453043
294,5,geometric,250,475.5512121726299
295,5,geometric,250,457.17736741974943
296,5,geometric,250,452.3192224318779
297,5,geometric,250,446.51693929441353
298,5,geometric,250,452.0645016007413
299,5,geometric,250,455.19082445144943
300,5,geometric,250,455.3254799029991
301,5,geometric,250,444.69288733365426
302,5,geometric,250,443.5988420777846
303,5,geometric,250,433.83922337754694
304,5,geometric,250,440.1173816597745
305,5,geometric,250,434.37290211794794
306,5,geometric,250,434.9458055524919
307,5,geometric,250,434.9458055524919
308,5,geometric,250,444.28319739982584
309,5,geometric,250,451.56359875690924
310,5,geometric,250,453.7741577828656
311,5,geometric,250,461.15591768561455
312,5,geometric,250,450.29152111185056
313,5,geometric,250,454.83434375567583
314,5,geometric,250,459.4049658904829
315,5,geometric,250,454.77228156674545
316,5,geometric,250,441.5870100542292
317,5,geometric,250,450.8490569505126
