order,temperatur,simulation,sch_method,chain lenght,found_distances
0,75,10,geometric,500,1621.0659006774738
1,75,10,geometric,500,1473.0854256097
2,75,10,geometric,500,1589.7465391580952
3,75,10,geometric,500,1615.8041067402257
4,75,10,geometric,500,1480.6097643457704
5,75,10,geometric,500,1483.1751208170162
6,75,10,geometric,500,1473.1470931267127
7,75,10,geometric,500,1605.9628025242341
8,75,10,geometric,500,1596.2050739182357
9,75,10,geometric,500,1687.4118017003204
10,75,10,geometric,500,1617.9806496918948
11,75,10,geometric,500,1495.7919163729835
12,75,10,geometric,500,1549.5221110609234
13,75,10,geometric,500,1511.8058734240162
14,75,10,geometric,500,1670.8021637948864
15,75,10,geometric,500,1563.790306403148
16,75,10,geometric,500,1581.140995013327
17,75,10,geometric,500,1553.8254504937781
18,75,10,geometric,500,1543.6435603459906
19,75,10,geometric,500,1295.6541738187095
20,75,10,geometric,500,1452.2594808883862
21,75,10,geometric,500,1594.0254030916433
22,75,10,geometric,500,1481.6201071449223
23,75,10,geometric,500,1478.8883350424544
24,75,10,geometric,500,1447.0712984496683
25,75,10,geometric,500,1511.4826058285778
26,75,10,geometric,500,1513.0725118399075
27,75,10,geometric,500,1621.5986814115286
28,75,10,geometric,500,1650.2457575684402
29,75,10,geometric,500,1573.5762881104572
30,75,10,geometric,500,1424.4624750814237
31,75,10,geometric,500,1606.2308083671942
32,75,10,geometric,500,1415.3313323750738
33,75,10,geometric,500,1610.3008948132626
34,75,10,geometric,500,1464.156067144394
35,75,10,geometric,500,1560.813028212583
36,75,10,geometric,500,1508.827726055353
37,75,10,geometric,500,1562.1501068080502
38,75,10,geometric,500,1701.143240196442
39,75,10,geometric,500,1463.7746321340214
40,75,10,geometric,500,1395.7585837595177
41,75,10,geometric,500,1505.8116747378795
42,75,10,geometric,500,1524.8715196556918
43,75,10,geometric,500,1521.1235460905364
44,75,10,geometric,500,1289.673595264034
45,75,10,geometric,500,1511.8164190022665
46,75,10,geometric,500,1370.8869091193762
47,75,10,geometric,500,1355.6512056574652
48,75,10,geometric,500,1484.5562521513282
49,75,10,geometric,500,1476.6568878814924
50,75,10,geometric,500,1541.2320811194038
51,75,10,geometric,500,1414.28371985994
52,75,10,geometric,500,1482.5665994286167
53,75,10,geometric,500,1454.615965489657
54,75,10,geometric,500,1565.3778912421833
55,75,10,geometric,500,1405.694283730236
56,75,10,geometric,500,1515.183130804125
57,75,10,geometric,500,1626.361419875145
58,75,10,geometric,500,1471.1242080992013
59,75,10,geometric,500,1541.372930440992
60,75,10,geometric,500,1370.4614669114396
61,75,10,geometric,500,1512.221405645622
62,75,10,geometric,500,1377.759300694198
63,75,10,geometric,500,1502.1714968456645
64,75,10,geometric,500,1415.918686981018
65,75,10,geometric,500,1435.0747076845735
66,75,10,geometric,500,1478.9580091159849
67,75,10,geometric,500,1395.3491624728676
68,75,10,geometric,500,1462.5551281327103
69,75,10,geometric,500,1340.8578211276865
70,75,10,geometric,500,1266.760658505162
71,75,10,geometric,500,1497.8294123629237
72,75,10,geometric,500,1350.2693456073296
73,75,10,geometric,500,1593.2812116941636
74,75,10,geometric,500,1545.3024234110258
75,75,10,geometric,500,1217.9783548356513
76,75,10,geometric,500,1401.8279253135743
77,75,10,geometric,500,1312.0290795802935
78,75,10,geometric,500,1414.7265701831716
79,75,10,geometric,500,1237.9590321144076
80,75,10,geometric,500,1442.593747268662
81,75,10,geometric,500,1363.2608099509357
82,75,10,geometric,500,1359.6619338193136
83,75,10,geometric,500,1488.339764814
84,75,10,geometric,500,1322.3751916364413
85,75,10,geometric,500,1404.5737808505364
86,75,10,geometric,500,1327.7724902640323
87,75,10,geometric,500,1206.204714298609
88,75,10,geometric,500,1351.4174840495107
89,75,10,geometric,500,1349.2848541892556
90,75,10,geometric,500,1318.7522557913107
91,75,10,geometric,500,1373.3353854786906
92,75,10,geometric,500,1170.1033569781453
93,75,10,geometric,500,1469.3992126628423
94,75,10,geometric,500,1392.5450227958215
95,75,10,geometric,500,1328.5897658024576
96,75,10,geometric,500,1360.0014269385608
97,75,10,geometric,500,1505.0353808390232
98,75,10,geometric,500,1172.1220076995992
99,75,10,geometric,500,1415.216696232037
100,75,10,geometric,500,1313.976431776882
101,75,10,geometric,500,1396.3443141636017
102,75,10,geometric,500,1293.6677345578576
103,75,10,geometric,500,1331.204231986594
104,75,10,geometric,500,1188.185180329827
105,75,10,geometric,500,1415.9638949353937
106,75,10,geometric,500,1366.3760446602444
107,75,10,geometric,500,1412.3054150730288
108,75,10,geometric,500,1240.743021933404
109,75,10,geometric,500,1126.657075628115
110,75,10,geometric,500,1263.4799958354379
111,75,10,geometric,500,1279.9950967080197
112,75,10,geometric,500,1426.071541977827
113,75,10,geometric,500,1265.3129941436514
114,75,10,geometric,500,1364.2238291723747
115,75,10,geometric,500,1277.1879427758736
116,75,10,geometric,500,1269.9116928601852
117,75,10,geometric,500,1274.5315782398923
118,75,10,geometric,500,1298.8901927889094
119,75,10,geometric,500,1406.3037885789179
120,75,10,geometric,500,1268.6119882556013
121,75,10,geometric,500,1244.6674377370355
122,75,10,geometric,500,1366.8536207640473
123,75,10,geometric,500,1190.7679762171322
124,75,10,geometric,500,1345.9573613134341
125,75,10,geometric,500,1271.1145804876965
126,75,10,geometric,500,1287.41488903815
127,75,10,geometric,500,1417.789568833048
128,75,10,geometric,500,1242.6940602851653
129,75,10,geometric,500,1188.6481043196975
130,75,10,geometric,500,1171.5762750483564
131,75,10,geometric,500,1322.5699663943215
132,75,10,geometric,500,1229.8581995937623
133,75,10,geometric,500,1195.2928185401308
134,75,10,geometric,500,1091.2208106704516
135,75,10,geometric,500,1237.506357390071
136,75,10,geometric,500,1201.1713929748348
137,75,10,geometric,500,1187.2872685579184
138,75,10,geometric,500,1382.5913424229725
139,75,10,geometric,500,1214.5025948290763
140,75,10,geometric,500,1209.4139577924798
141,75,10,geometric,500,1173.3993431615847
142,75,10,geometric,500,1322.1498157857513
143,75,10,geometric,500,1170.92755381741
144,75,10,geometric,500,1187.698807417366
145,75,10,geometric,500,1204.7959209590344
146,75,10,geometric,500,1140.3475048784264
147,75,10,geometric,500,1280.8928662832448
148,75,10,geometric,500,1090.25030431098
149,75,10,geometric,500,1082.5202277353837
150,75,10,geometric,500,1149.6288205998508
151,75,10,geometric,500,1143.545360561827
152,75,10,geometric,500,1092.7054342779431
153,75,10,geometric,500,1161.4936152948856
154,75,10,geometric,500,1311.7750847870027
155,75,10,geometric,500,1357.0078585516387
156,75,10,geometric,500,1299.7037336780184
157,75,10,geometric,500,1255.4234965375088
158,75,10,geometric,500,999.5008749129382
159,75,10,geometric,500,1126.7486064074033
160,75,10,geometric,500,1098.3620191410716
161,75,10,geometric,500,1294.0538645825882
162,75,10,geometric,500,1017.369781080319
163,75,10,geometric,500,1023.3467423934894
164,75,10,geometric,500,1061.4131870359295
165,75,10,geometric,500,1195.807549463988
166,75,10,geometric,500,1007.235887383644
167,75,10,geometric,500,1098.5506127499955
168,75,10,geometric,500,1052.9940833151215
169,75,10,geometric,500,1005.3215892179876
170,75,10,geometric,500,928.3224576591517
171,75,10,geometric,500,1074.8947026400474
172,75,10,geometric,500,1108.4630674100845
173,75,10,geometric,500,1229.3511694239003
174,75,10,geometric,500,1019.2606557718856
175,75,10,geometric,500,1049.8087520142253
176,75,10,geometric,500,1124.5037021791438
177,75,10,geometric,500,990.5422220608235
178,75,10,geometric,500,996.2545023317784
179,75,10,geometric,500,1191.4820219126345
180,75,10,geometric,500,1023.1397739432708
